Category,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein,Vitamin A (% Daily Value)
Beef & Pork,2.8095789991353106,3.052832124714328,2.7368203938003868,2.9562455973077064,1.8501197841390404,1.4091329405034725,3.292597433456992,1.6184553845102698
Beverages,0.5108838165709433,0.512166160157983,0.8953131070202682,0.9655783874697399,1.2891474808980594,2.203107526560184,0.6946756339794498,1.4845375968431327
Breakfast,3.007032169277672,3.3424234420762486,4.127298184147621,3.3433353142024034,2.327334349134336,1.3867081417359852,2.545575963643852,1.6183524060337657
Chicken & Fish,3.1659797325441996,3.26781447423427,2.4829548992933534,3.438288545994546,2.2932438482829305,1.348010480146074,3.470233112053747,1.910639648511296
Coffee & Tea,1.539600929519346,1.3252568335841124,1.4620739250487609,1.1595519500848332,2.0678462898196472,2.693143285953989,1.4470562252991264,1.7007080876379825
Desserts,1.166342631288745,1.2571706172273425,1.2018380075086363,1.1193967068838024,1.5886194191465635,2.131886189275048,0.9611291518745821,1.5797354773447203
Salads,1.4556144038734005,1.7076731303240908,1.9799396779791087,2.077319114955086,0.9348685066653719,1.3271732777515064,2.5431969143769315,4.640255799047199
Smoothies & Shakes,3.0358154302313696,1.951237497160951,1.8384666469844775,1.2544448887190163,4.342869653318228,4.2885366371128,1.64629534074778,1.8739964739552464
Snacks & Sides,1.3091518875590111,1.5834257205206725,1.275295158217387,1.6858394943828672,1.3059506685958233,1.2123015209609411,1.3992402245675404,1.5733191261163866
